             -1        -0.2917        -0.2201
           -0.9        -0.2363        -0.1831
           -0.8        -0.1867        -0.1486
           -0.7        -0.1429        -0.1169
           -0.6         -0.105       -0.08835
           -0.5       -0.07292       -0.06312
           -0.4       -0.04667       -0.04157
           -0.3       -0.02625       -0.02407
           -0.2       -0.01167       -0.01101
           -0.1      -0.002917      -0.002834
     -1.388e-16     -5.617e-33              0
            0.1      -0.002917         -0.003
            0.2       -0.01167       -0.01234
            0.3       -0.02625       -0.02851
            0.4       -0.04667         -0.052
            0.5       -0.07292       -0.08323
            0.6         -0.105        -0.1226
            0.7        -0.1429        -0.1702
            0.8        -0.1867        -0.2264
            0.9        -0.2362        -0.2912
              1        -0.2917        -0.3645
